,mean,std
state_positions_0,0.006365837359029089,0.1812689072022893
state_positions_1,-0.2070965324078495,0.18288237659755857
state_positions_2,-0.029319830500378057,0.1775481596726085
state_positions_3,-2.0894084693325246,0.18751449498980036
state_positions_4,0.0024586094302521686,0.023967948133019813
state_positions_5,1.8997355454340032,0.023015644719462016
state_positions_6,0.7861825104210385,0.024883838822071718
state_velocities_0,0.00014881720461106586,0.3412593286129257
state_velocities_1,-0.0017672832953275239,0.29114245017381296
state_velocities_2,-0.001497314480797346,0.32600322255148745
state_velocities_3,1.9289317467381784e-05,0.35441163474835324
state_velocities_4,0.00021097107389326296,0.0553261347707541
state_velocities_5,-5.3455505953183174e-05,0.060000129327601
state_velocities_6,3.62286282427489e-05,0.05695712925653544
actions_0,0.030903848870666887,50.24313899049727
actions_1,-0.16711916671841484,50.260733528256196
actions_2,-0.1909130636584099,50.27396856276628
actions_3,0.023657486575666055,50.21781016677754
actions_4,0.026579124439415323,6.9348719921673885
actions_5,0.0008699045441515873,6.923538396620763
actions_6,0.004624879457667466,6.932498623205127
state_delta_positions_0,4.258660486165967e-06,0.006505656092682692
state_delta_positions_1,-3.6650830791388934e-05,0.0049379960768317676
state_delta_positions_2,-3.0081385460761494e-05,0.006142158825644616
state_delta_positions_3,-5.411215235351732e-06,0.006013546652131903
state_delta_positions_4,3.814020027495588e-06,0.0010497839519233267
state_delta_positions_5,-1.2081585212355778e-06,0.0013174562957509477
state_delta_positions_6,8.019716786139208e-07,0.0011250570008474782
state_delta_velocities_0,6.689383291589946e-05,0.4572499935933758
state_delta_velocities_1,4.190155699547041e-06,0.36165928465247377
state_delta_velocities_2,-2.75687287018739e-06,0.42736341721649185
state_delta_velocities_3,3.289178155175765e-05,0.4816523974903257
state_delta_velocities_4,-6.4968538623022935e-06,0.07849337667753457
state_delta_velocities_5,1.9003254385693137e-06,0.08666248528616508
state_delta_velocities_6,-7.424746792702327e-07,0.08127373805975939
