,mean,std
state_position_0,-0.05588184782541385,0.03515786574307942
state_position_1,-0.19218725230900918,0.03523143280105217
state_position_2,-0.018331238128511604,0.021599782646194537
state_position_3,-2.054478008275532,0.04928728078905455
state_position_4,0.00041600270385341317,0.0037665630773255103
state_position_5,1.901361549402492,0.001779963016503691
state_position_6,0.7867340168924457,0.0037908624289212686
state_velocity_0,-0.09090940973803885,0.32951622036650924
state_velocity_1,-0.029149981579522623,0.3001767403447068
state_velocity_2,-0.012974726140673933,0.3059302189207069
state_velocity_3,0.054136860832544265,0.3744599124031773
state_velocity_4,0.000260914697833936,0.05398798244340472
state_velocity_5,-0.001340104002228248,0.059231356143783075
state_velocity_6,0.00458466978617231,0.054004748384602314
action_0,-10.719412355999994,49.09369862423167
action_1,-3.2991929140000003,51.65089767318576
action_2,-1.1175749950000005,45.99130234820936
action_3,6.495061208500001,52.92528465367369
action_4,0.019237911300000122,6.9106613800946
action_5,-0.2039573470229999,6.985676732545379
action_6,0.6767333757400001,6.669467088447747
state_delta_position_0,-0.0017623309743202496,0.006309168003221779
state_delta_position_1,-0.0005793061828438226,0.005489758003224639
state_delta_position_2,-0.0002485259554200095,0.005936928563303701
state_delta_position_3,0.0010528251950758772,0.006636888414983462
state_delta_position_4,4.085304902440653e-06,0.0010369930512591878
state_delta_position_5,-2.779727326736257e-05,0.001322602052555621
state_delta_position_6,0.00011274291909894485,0.001068709532515047
state_delta_velocity_0,0.003766305648224626,0.4631933866002761
state_delta_velocity_1,0.0006206151354723188,0.28994368369911533
state_delta_velocity_2,0.0016812086667908034,0.4049818576118127
state_delta_velocity_3,-0.0016866460438709696,0.45610966052793606
state_delta_velocity_4,-5.844262987731531e-05,0.07521227059100735
state_delta_velocity_5,-0.00014840879902928012,0.08951247980742083
state_delta_velocity_6,0.0010289057536764542,0.08089640864371404
